ilan_no,site,yil,marka,model,km,yakit,vites,fiyat,kaynak,veri_tipi
39320485,arabam.com,2014,BMW,5 Serisi,292000,Dizel,Otomatik,1750000,gercek,scrape_edilmis
39284079,arabam.com,2008,Fiat,Albea,192700,Benzin,Manuel,345000,gercek,scrape_edilmis
39247810,arabam.com,2018,Opel,Corsa,112000,Benzin,Otomatik,1065000,gercek,scrape_edilmis
39013704,arabam.com,2017,Volkswagen,Golf,129600,Benzin,Manuel,1099000,gercek,scrape_edilmis
38862633,arabam.com,2014,Volkswagen,Polo,199999,Dizel,Manuel,522500,gercek,scrape_edilmis
38471532,arabam.com,2025,Skoda,SuperB,16500,Hibrit,Otomatik,3430000,gercek,scrape_edilmis
38462144,arabam.com,2012,Audi,A5,225000,Dizel,Otomatik,1595000,gercek,scrape_edilmis
1305468499,sahibinden.com,2012,Mini,Cooper,176000,Benzin,Otomatik,795000,gercek,scrape_edilmis
1318776599,sahibinden.com,1992,Tofaş,Şahin,36000,Benzin,Manuel,185000,gercek,scrape_edilmis
1322441345,sahibinden.com,2025,Volkswagen,Passat Variant,6001,Hibrit,Otomatik,2650000,gercek,scrape_edilmis
1322444497,sahibinden.com,2013,Volkswagen,Golf,233000,Dizel,Otomatik,1130000,gercek,scrape_edilmis
1322445181,sahibinden.com,2011,DS Automobiles,DS 3,92000,Benzin,Otomatik,650000,gercek,scrape_edilmis
1322442653,sahibinden.com,2013,BMW,5 Serisi,275000,Dizel,Otomatik,1495000,gercek,scrape_edilmis
1322443836,sahibinden.com,2003,Fiat,Palio,255000,Benzin,Manuel,267000,gercek,scrape_edilmis
1322440903,sahibinden.com,2018,Mercedes-Benz,C Serisi,120000,Dizel,Otomatik,2780000,gercek,scrape_edilmis
1321494015,sahibinden.com,2023,Mercedes-Benz,C Serisi,37950,Hibrit,Otomatik,4195000,gercek,scrape_edilmis
1321906044,sahibinden.com,2017,BMW,5 Serisi,181000,Benzin,Otomatik,2585000,gercek,scrape_edilmis
1321132988,sahibinden.com,2023,Mercedes-Benz,C Serisi,39750,Hibrit,Otomatik,4075000,gercek,scrape_edilmis
1322322571,sahibinden.com,2017,Peugeot,301,275000,Dizel,Manuel,650000,gercek,scrape_edilmis
1322075392,sahibinden.com,2006,Hyundai,Getz,250100,Dizel,Manuel,420000,gercek,scrape_edilmis
1316559321,sahibinden.com,2016,Seat,Leon,194000,Dizel,Otomatik,1050000,gercek,scrape_edilmis
1316890281,sahibinden.com,2023,Tesla,Model Y,58000,Elektrik,Otomatik,2420000,gercek,scrape_edilmis
1322437271,sahibinden.com,2006,Fiat,Palio,367330,Dizel,Manuel,365000,gercek,scrape_edilmis
1321209262,sahibinden.com,2011,Volkswagen,Golf,195350,Dizel,Manuel,875000,gercek,scrape_edilmis
1322436216,sahibinden.com,2015,Mercedes-Benz,C Serisi,170000,Dizel,Otomatik,1730000,gercek,scrape_edilmis
1321409356,sahibinden.com,2019,Renault,Megane,185869,Dizel,Otomatik,1219000,gercek,scrape_edilmis
1322432106,sahibinden.com,2003,Opel,Corsa,355000,Dizel,Manuel,325000,gercek,scrape_edilmis
1316676677,sahibinden.com,2015,Volkswagen,VW CC 1.4 TSI,167000,Benzin,Otomatik,1320000,gercek,scrape_edilmis
1322433869,sahibinden.com,2020,Fiat,Egea,178000,Benzin,Manuel,759000,gercek,scrape_edilmis
1322435371,sahibinden.com,2023,Audi,A3,76000,Hibrit,Otomatik,2310000,gercek,scrape_edilmis
1322430343,sahibinden.com,2022,BMW,3 Serisi,99000,Benzin,Otomatik,3270000,gercek,scrape_edilmis
1322409025,sahibinden.com,2021,Toyota,Corolla,71000,Benzin,Otomatik,1280000,gercek,scrape_edilmis
1317914393,sahibinden.com,2016,Hyundai,i20,153000,Dizel,Manuel,550000,gercek,scrape_edilmis
1320216131,sahibinden.com,2004,Fiat,Stilo,333000,Benzin,Manuel,215000,gercek,scrape_edilmis
1322422627,sahibinden.com,2018,Mercedes-Benz,C Serisi,95000,Hibrit,Otomatik,2850000,gercek,scrape_edilmis
1315572527,sahibinden.com,2014,Hyundai,i30,181000,Dizel,Otomatik,1120000,gercek,scrape_edilmis
1322423334,sahibinden.com,2006,Renault,Clio,286000,Dizel,Manuel,289999,gercek,scrape_edilmis
1318454781,sahibinden.com,2020,Ford,Focus,163000,Benzin,Manuel,1080000,gercek,scrape_edilmis
1290246447,sahibinden.com,2023,Fiat,Egea,100000,Dizel,Manuel,985000,gercek,scrape_edilmis
1322417947,sahibinden.com,2015,Skoda,Superb,160250,Dizel,Otomatik,1260000,gercek,scrape_edilmis
1322414020,sahibinden.com,2019,Ford,Focus,94000,Dizel,Otomatik,1360000,gercek,scrape_edilmis
1322413794,sahibinden.com,2008,Nissan,Micra,203000,Benzin,Otomatik,550000,gercek,scrape_edilmis
1322412168,sahibinden.com,2013,BMW,3 Serisi,244930,Benzin,Otomatik,1099999,gercek,scrape_edilmis
1322417030,sahibinden.com,1999,Skoda,Felicia,174000,Benzin,Manuel,205000,gercek,scrape_edilmis
1322412000,sahibinden.com,2023,Mercedes-Benz,E Serisi E 200 d,52800,Dizel,Otomatik,4850000,gercek,scrape_edilmis
1322410155,sahibinden.com,2024,Hyundai,i20,24900,Benzin,Otomatik,1419000,gercek,scrape_edilmis
1305790278,sahibinden.com,2016,Mercedes-Benz,C Serisi,170000,Dizel,Otomatik,1950000,gercek,scrape_edilmis
1322411052,sahibinden.com,2021,BMW,3 Serisi,148000,Benzin,Otomatik,2695000,gercek,scrape_edilmis
1322410753,sahibinden.com,2013,Ford,Focus,315000,Dizel,Manuel,590000,gercek,scrape_edilmis
1322409693,sahibinden.com,2011,Renault,Fluence,241000,Dizel,Manuel,590000,gercek,scrape_edilmis
1322407188,sahibinden.com,2017,Volkswagen,Golf,357000,Dizel,Manuel,915000,gercek,scrape_edilmis
1322332422,sahibinden.com,2015,Seat,Leon,237000,Dizel,Otomatik,895000,gercek,scrape_edilmis
1310475583,sahibinden.com,2011,Volkswagen,Jetta,198500,Dizel,Otomatik,785000,gercek,scrape_edilmis
1322403717,sahibinden.com,2014,Volkswagen,Jetta,201000,Dizel,Otomatik,965000,gercek,scrape_edilmis
1321094133,sahibinden.com,2022,BMW,3 Serisi,68700,Benzin,Otomatik,3990000,gercek,scrape_edilmis
1322398097,sahibinden.com,2016,Renault,Clio,212000,Dizel,Manuel,649000,gercek,scrape_edilmis
1322389999,sahibinden.com,2025,Tesla,Model Y,6001,Elektrik,Otomatik,3025000,gercek,scrape_edilmis
1315202101,sahibinden.com,2024,Fiat,Egea,25000,Benzin,Manuel,1240000,gercek,scrape_edilmis
1322388628,sahibinden.com,2010,Toyota,Auris,198000,Dizel,Manuel,694750,gercek,scrape_edilmis
1322042708,sahibinden.com,2024,Renault,Clio,33000,Benzin,Otomatik,1485000,gercek,scrape_edilmis
1311250405,sahibinden.com,1994,Tofaş,Şahin,99000,Benzin,Manuel,195000,gercek,scrape_edilmis
1321667256,sahibinden.com,2021,Mercedes-Benz,CLA,104000,Benzin,Otomatik,3015000,gercek,scrape_edilmis
1321600155,sahibinden.com,2016,Ford,Focus,222000,Dizel,Otomatik,1035000,gercek,scrape_edilmis
1322384943,sahibinden.com,2022,BMW,4 Serisi,78000,Benzin,Otomatik,4025000,gercek,scrape_edilmis
1322365422,sahibinden.com,2004,Renault,Clio,219950,Benzin,Manuel,353000,gercek,scrape_edilmis
1322374261,sahibinden.com,2023,Audi,A6,62000,Benzin,Otomatik,5350000,gercek,scrape_edilmis
1321189412,sahibinden.com,2016,Volkswagen,Polo,129000,Benzin,Manuel,959000,gercek,scrape_edilmis
1322376146,sahibinden.com,2016,BMW,3 Serisi,92000,Benzin,Otomatik,1935000,gercek,scrape_edilmis
1322375864,sahibinden.com,2013,Renault,Clio,208000,Dizel,Manuel,714000,gercek,scrape_edilmis
1322374661,sahibinden.com,2016,Audi,A4,233000,Dizel,Otomatik,1550000,gercek,scrape_edilmis
1322372847,sahibinden.com,2018,Fiat,Egea,157000,Dizel,Manuel,819900,gercek,scrape_edilmis
1312743216,sahibinden.com,2015,Opel,Astra,178000,Benzin,Otomatik,795000,gercek,scrape_edilmis
1316902705,sahibinden.com,2024,Fiat,Egea,72000,Benzin,Manuel,947500,gercek,scrape_edilmis
1321479489,sahibinden.com,2003,Volkswagen,Bora,259000,Benzin,Manuel,456000,gercek,scrape_edilmis
1322336082,sahibinden.com,2012,Mercedes-Benz,C Serisi,387000,Benzin,Otomatik,1050000,gercek,scrape_edilmis
1322337772,sahibinden.com,2014,Mercedes-Benz,C Serisi,173000,Benzin,Otomatik,2095000,gercek,scrape_edilmis
1322329904,sahibinden.com,2021,Honda,Civic,64300,Benzin,Otomatik,1815000,gercek,scrape_edilmis
1316142183,sahibinden.com,2010,BMW,3 Serisi,242500,Benzin,Otomatik,1630000,gercek,scrape_edilmis
1289456548,sahibinden.com,2023,BMW,5 Serisi 520d xDrive,91000,Hibrit,Otomatik,5730000,gercek,scrape_edilmis
1261763194,sahibinden.com,2014,Honda,Civic,255000,Benzin,Manuel,640000,gercek,scrape_edilmis
1322330589,sahibinden.com,2019,Mercedes-Benz,CLA,94000,Benzin,Otomatik,2870000,gercek,scrape_edilmis
1322324025,sahibinden.com,2016,Volkswagen,Passat,255000,Dizel,Otomatik,1265000,gercek,scrape_edilmis
1322077736,sahibinden.com,1991,Toyota,Corolla,97000,Benzin,Manuel,345000,gercek,scrape_edilmis
1322323481,sahibinden.com,1988,Renault,R 9,350000,Benzin,Manuel,125000,gercek,scrape_edilmis
1322326773,sahibinden.com,2023,Renault,Megane,83000,Benzin,Otomatik,1235000,gercek,scrape_edilmis
1322321545,sahibinden.com,2021,Renault,Clio,149000,Benzin,Otomatik,975000,gercek,scrape_edilmis
1322322791,sahibinden.com,2017,Renault,Megane,179850,Dizel,Otomatik,1395000,gercek,scrape_edilmis
1316876076,sahibinden.com,2017,Skoda,Superb,155000,Dizel,Otomatik,1355000,gercek,scrape_edilmis
1322271975,sahibinden.com,2016,Audi,A3,165000,Benzin,Otomatik,1375000,gercek,scrape_edilmis
1321417728,sahibinden.com,2012,Citroen,C4,225000,Dizel,Otomatik,695000,gercek,scrape_edilmis
1322073465,sahibinden.com,2016,BMW,5 Serisi,215000,Benzin,Otomatik,1649999,gercek,scrape_edilmis
1322313323,sahibinden.com,2006,Volkswagen,Jetta,261000,Benzin,Manuel,619000,gercek,scrape_edilmis
1317004019,sahibinden.com,2022,BMW,3 Serisi,126500,Benzin,Otomatik,2600000,gercek,scrape_edilmis
1322207855,sahibinden.com,2025,Tesla,Model Y,21120,Elektrik,Otomatik,3200000,gercek,scrape_edilmis
1322309129,sahibinden.com,2024,Citroen,C3 1.2 PureTech,11000,Benzin,Otomatik,1285000,gercek,scrape_edilmis
1322309564,sahibinden.com,2016,BMW,1 Serisi,186000,Dizel,Otomatik,1268000,gercek,scrape_edilmis
1322305747,sahibinden.com,2023,Fiat,Egea,23000,Benzin,Manuel,1050000,gercek,scrape_edilmis
1309528187,sahibinden.com,2021,Honda,City,90000,Benzin,Otomatik,1305000,gercek,scrape_edilmis
1319131526,sahibinden.com,2024,Skoda,Superb,51500,Hibrit,Otomatik,3015000,gercek,scrape_edilmis
1322305205,sahibinden.com,2025,BMW,i Serisi i5,6002,Elektrik,Otomatik,6180000,gercek,scrape_edilmis
1319773918,sahibinden.com,1998,Mercedes-Benz,C Serisi,196000,Benzin,Otomatik,1265000,gercek,scrape_edilmis
1322304477,sahibinden.com,2025,Renault,Megane,23850,Benzin,Otomatik,2020000,gercek,scrape_edilmis
1313168955,sahibinden.com,2025,Volkswagen,Golf,33450,Hibrit,Otomatik,2345000,gercek,scrape_edilmis
1322304506,sahibinden.com,2021,Renault,Megane,114000,Dizel,Otomatik,1430000,gercek,scrape_edilmis
1312937491,sahibinden.com,2015,Honda,Civic,220895,Benzin,Manuel,965000,gercek,scrape_edilmis
1322303492,sahibinden.com,2016,Volkswagen,Passat,173000,Dizel,Otomatik,1785000,gercek,scrape_edilmis
1322301477,sahibinden.com,2014,Seat,Leon,220000,Benzin,Otomatik,1050000,gercek,scrape_edilmis
1322093377,sahibinden.com,2022,Toyota,Corolla,78000,Benzin,Otomatik,1449000,gercek,scrape_edilmis
1318976205,sahibinden.com,1998,Renault,Megane,422000,Benzin,Manuel,275000,gercek,scrape_edilmis
1322296976,sahibinden.com,2020,Honda,Civic,65300,Benzin,Otomatik,1870000,gercek,scrape_edilmis
1322222301,sahibinden.com,2015,Mercedes-Benz,CLA,175000,Dizel,Otomatik,1659000,gercek,scrape_edilmis
1322268937,sahibinden.com,2014,Volkswagen,Golf,164500,Dizel,Otomatik,1415000,gercek,scrape_edilmis
1322287874,sahibinden.com,2005,Renault,Megane,195000,Dizel,Manuel,489500,gercek,scrape_edilmis
1322288024,sahibinden.com,2015,Seat,Leon,187000,Benzin,Manuel,1075000,gercek,scrape_edilmis
1322284506,sahibinden.com,2016,BMW,1 Serisi,160000,Benzin,Otomatik,1265000,gercek,scrape_edilmis
1322034179,sahibinden.com,2011,Ford,Fiesta,239000,Dizel,Manuel,620000,gercek,scrape_edilmis
1322281268,sahibinden.com,2018,Toyota,Corolla,255000,Benzin,Otomatik,1160000,gercek,scrape_edilmis
1290871873,sahibinden.com,2010,Volkswagen,Polo,282000,Dizel,Manuel,747000,gercek,scrape_edilmis
1315455718,sahibinden.com,2012,Skoda,Superb,308000,Dizel,Manuel,800000,gercek,scrape_edilmis
1316740294,sahibinden.com,2017,Mercedes-Benz,C Serisi,233000,Dizel,Otomatik,1600000,gercek,scrape_edilmis
1316880871,sahibinden.com,2015,Opel,Corsa,100000,Dizel,Manuel,875000,gercek,scrape_edilmis
1322256886,sahibinden.com,2008,Renault,Megane,281000,Dizel,Manuel,497000,gercek,scrape_edilmis
1316940246,sahibinden.com,2016,Hyundai,Accent Blue,226000,Dizel,Otomatik,684000,gercek,scrape_edilmis
1322271773,sahibinden.com,2023,Mercedes-Benz,CLA,55000,Benzin,Otomatik,3370000,gercek,scrape_edilmis
1322263743,sahibinden.com,2007,Opel,Astra,401500,Benzin,Manuel,390000,gercek,scrape_edilmis
1316983295,sahibinden.com,2008,Toyota,Auris,244000,Dizel,Manuel,565000,gercek,scrape_edilmis
1322214991,sahibinden.com,2013,Volkswagen,Golf,233000,Dizel,Otomatik,975000,gercek,scrape_edilmis
1322262535,sahibinden.com,2020,Dacia,Sandero,97000,Benzin,Manuel,580000,gercek,scrape_edilmis
1322260516,sahibinden.com,2015,Seat,Leon,212000,Benzin,Otomatik,1109000,gercek,scrape_edilmis
1322257696,sahibinden.com,2013,Renault,Fluence,278000,Dizel,Manuel,630000,gercek,scrape_edilmis
1322259526,sahibinden.com,2023,Fiat,Egea,28000,Dizel,Otomatik,1174000,gercek,scrape_edilmis
1313864061,sahibinden.com,2019,Volkswagen,Passat,150000,Dizel,Otomatik,1700000,gercek,scrape_edilmis
1316287581,sahibinden.com,2017,Renault,Megane,202000,Dizel,Otomatik,1150000,gercek,scrape_edilmis
1322255332,sahibinden.com,2010,Chevrolet,Cruze,192000,Benzin,Manuel,465000,gercek,scrape_edilmis
1322249025,sahibinden.com,2011,Ford,Focus,225000,Dizel,Manuel,515000,gercek,scrape_edilmis
1322250005,sahibinden.com,2012,Renault,Clio,171000,Benzin,Otomatik,705000,gercek,scrape_edilmis
1317184428,sahibinden.com,2020,Renault,Clio,140000,Benzin,Manuel,950000,gercek,scrape_edilmis
1322239524,sahibinden.com,2004,Renault,Megane,268000,Benzin,Otomatik,421500,gercek,scrape_edilmis
1322244846,sahibinden.com,2007,Hyundai,Getz,370000,Benzin,Otomatik,459000,gercek,scrape_edilmis
1321223602,sahibinden.com,2019,Toyota,Corolla,87000,Benzin,Otomatik,1319000,gercek,scrape_edilmis
1322241274,sahibinden.com,2021,Toyota,Corolla,182500,Hibrit,Otomatik,1265000,gercek,scrape_edilmis
1322240703,sahibinden.com,2012,Citroen,C4,229000,Dizel,Otomatik,669000,gercek,scrape_edilmis
1322235803,sahibinden.com,2011,Ford,Focus,207000,Dizel,Manuel,560000,gercek,scrape_edilmis
1322236128,sahibinden.com,2025,Tesla,Model Y,6001,Elektrik,Otomatik,3150000,gercek,scrape_edilmis
1322230231,sahibinden.com,2011,BMW,5 Serisi,367500,Dizel,Otomatik,1365000,gercek,scrape_edilmis
1322225934,sahibinden.com,2021,Seat,Ibiza 1.0 EcoTSI,11360,Benzin,Otomatik,1290000,gercek,scrape_edilmis
1322231652,sahibinden.com,2014,Mercedes-Benz,C Serisi,153000,Benzin,Otomatik,2090000,gercek,scrape_edilmis
1318548312,sahibinden.com,2015,BMW,3 Serisi,170000,Benzin,Otomatik,1950000,gercek,scrape_edilmis
1321646106,sahibinden.com,2022,Renault,Megane,74000,Dizel,Otomatik,1420000,gercek,scrape_edilmis
1322222997,sahibinden.com,2008,Ford,Focus,172000,Dizel,Manuel,649900,gercek,scrape_edilmis
1322091355,sahibinden.com,2019,Citroen,C3 1.2 PureTech,163000,Benzin,Otomatik,840000,gercek,scrape_edilmis
1322218787,sahibinden.com,2015,Volkswagen,Passat,276500,Dizel,Otomatik,1565000,gercek,scrape_edilmis
1322217232,sahibinden.com,2017,Seat,Ibiza 1.0,225000,Benzin,Manuel,698000,gercek,scrape_edilmis
1322221665,sahibinden.com,2022,Mercedes-Benz,C Serisi,56500,Hibrit,Otomatik,4050000,gercek,scrape_edilmis
1322221612,sahibinden.com,2012,Audi,A6,247000,Dizel,Otomatik,1870000,gercek,scrape_edilmis
1322086040,sahibinden.com,2006,Peugeot,407,317000,Dizel,Manuel,250000,gercek,scrape_edilmis
1322067168,sahibinden.com,2020,Audi,A6,65000,Dizel,Otomatik,5175750,gercek,scrape_edilmis
1322216530,sahibinden.com,2013,Mercedes-Benz,E Serisi,309500,Dizel,Otomatik,2350000,gercek,scrape_edilmis
1315159058,sahibinden.com,2014,Ford,Focus,152000,Dizel,Manuel,1095000,gercek,scrape_edilmis
1321882425,sahibinden.com,2021,Mercedes-Benz,C Serisi,119000,Dizel,Otomatik,2850000,gercek,scrape_edilmis
1321629147,sahibinden.com,2023,Renault,Clio,49000,Benzin,Manuel,889000,gercek,scrape_edilmis
1322202602,sahibinden.com,2019,BMW,3 Serisi,189000,Benzin,Otomatik,2225000,gercek,scrape_edilmis
1322206496,sahibinden.com,2013,Ford,Focus,81000,Dizel,Manuel,977500,gercek,scrape_edilmis
1322200011,sahibinden.com,2015,Opel,Corsa,114000,Benzin,Manuel,679500,gercek,scrape_edilmis
1322201617,sahibinden.com,2015,Volkswagen,Polo,240000,Dizel,Manuel,680000,gercek,scrape_edilmis
1322202229,sahibinden.com,2012,BMW,1 Serisi,121000,Benzin,Otomatik,1245000,gercek,scrape_edilmis
1322195081,sahibinden.com,2025,Ford,Focus,19000,Dizel,Otomatik,1870000,gercek,scrape_edilmis
1322188397,sahibinden.com,2009,Ford,Fiesta,117350,Benzin,Otomatik,835000,gercek,scrape_edilmis
1322191424,sahibinden.com,2013,Audi,A3,249000,Dizel,Otomatik,847000,gercek,scrape_edilmis
1322180024,sahibinden.com,2016,BMW,1 Serisi,235000,Dizel,Otomatik,955000,gercek,scrape_edilmis
1322188733,sahibinden.com,2000,Nissan,Micra,264800,Benzin,Otomatik,325000,gercek,scrape_edilmis
1322185095,sahibinden.com,1996,Ford,Escort,210000,Benzin,Manuel,195000,gercek,scrape_edilmis
1322174688,sahibinden.com,1993,Opel,Vectra,386583,Benzin,Manuel,295000,gercek,scrape_edilmis
1322162259,sahibinden.com,2011,Renault,Clio,248000,Dizel,Manuel,530000,gercek,scrape_edilmis
1322182627,sahibinden.com,2020,Skoda,Superb,140000,Dizel,Otomatik,1550000,gercek,scrape_edilmis
1322139317,sahibinden.com,2019,Skoda,Octavia,152000,Dizel,Otomatik,1545000,gercek,scrape_edilmis
1322181901,sahibinden.com,2008,Toyota,Auris,146000,Benzin,Otomatik,790000,gercek,scrape_edilmis
1322148926,sahibinden.com,2021,Volvo,S90,103000,Dizel,Otomatik,3875000,gercek,scrape_edilmis
1313027183,sahibinden.com,2011,Ford,Mondeo,308500,Dizel,Otomatik,620000,gercek,scrape_edilmis
1298026975,sahibinden.com,2024,Renault,Clio,30000,Benzin,Otomatik,1390000,gercek,scrape_edilmis
1322174772,sahibinden.com,2003,Ford,Focus,224000,Benzin,Manuel,470000,gercek,scrape_edilmis
1320687208,sahibinden.com,2016,BMW,3 Serisi,159000,Benzin,Otomatik,1745000,gercek,scrape_edilmis
1286977376,sahibinden.com,2018,Mercedes-Benz,C Serisi,175000,Dizel,Otomatik,2150000,gercek,scrape_edilmis
1322166887,sahibinden.com,2016,Volkswagen,Passat,300000,Dizel,Otomatik,1345000,gercek,scrape_edilmis
1304704245,sahibinden.com,2025,Opel,Corsa,14000,Benzin,Otomatik,999000,gercek,scrape_edilmis
1322164700,sahibinden.com,2023,Mercedes-Benz,A Serisi,33571,Hibrit,Otomatik,2850000,gercek,scrape_edilmis
1322166768,sahibinden.com,2004,Volkswagen,Polo,292000,Dizel,Manuel,250000,gercek,scrape_edilmis
1313035486,sahibinden.com,2015,Renault,Symbol,159200,Dizel,Manuel,705000,gercek,scrape_edilmis
1322163294,sahibinden.com,2014,Mercedes-Benz,C Serisi,224000,Benzin,Otomatik,1875000,gercek,scrape_edilmis
1322154573,sahibinden.com,2017,Volkswagen,Passat,175000,Benzin,Otomatik,1665000,gercek,scrape_edilmis
1320738001,sahibinden.com,2016,Opel,Insignia,147903,Dizel,Otomatik,1125000,gercek,scrape_edilmis
1315379146,sahibinden.com,2007,Honda,Civic,298350,Benzin,Otomatik,739000,gercek,scrape_edilmis
1322150210,sahibinden.com,2012,Ford,Focus,185000,Dizel,Manuel,917000,gercek,scrape_edilmis
1322144536,sahibinden.com,2016,Opel,Astra,86000,Benzin,Otomatik,1385000,gercek,scrape_edilmis
1322144227,sahibinden.com,2012,Maserati,GranTurismo,115000,Benzin,Otomatik,6100000,gercek,scrape_edilmis
1322141997,sahibinden.com,2012,BMW,3 Serisi,325000,Benzin,Otomatik,1189000,gercek,scrape_edilmis
1322142601,sahibinden.com,2021,Opel,Insignia,59000,Dizel,Otomatik,1390000,gercek,scrape_edilmis
1322139676,sahibinden.com,2004,Renault,Clio,242000,Benzin,Manuel,368000,gercek,scrape_edilmis
1321879948,sahibinden.com,2016,Audi,A6,257000,Dizel,Otomatik,2430000,gercek,scrape_edilmis
1315415530,sahibinden.com,2020,Volkswagen,Golf,65000,Benzin,Otomatik,1725000,gercek,scrape_edilmis
1322135673,sahibinden.com,2006,Ford,Focus,121000,Benzin,Manuel,755750,gercek,scrape_edilmis
1305237545,sahibinden.com,2024,Audi,A3,38000,Benzin,Otomatik,2420000,gercek,scrape_edilmis
1321125629,sahibinden.com,2006,BMW,3 Serisi,244000,Benzin,Manuel,820000,gercek,scrape_edilmis
1322135579,sahibinden.com,2014,BMW,5 Serisi,299000,Benzin,Otomatik,1410000,gercek,scrape_edilmis
1322130006,sahibinden.com,2023,Fiat,Egea,77000,Dizel,Manuel,1120000,gercek,scrape_edilmis
1322074160,sahibinden.com,2025,Tesla,Model Y,34000,Elektrik,Otomatik,2690000,gercek,scrape_edilmis
1319983985,sahibinden.com,2025,Fiat,Egea,87900,Dizel,Manuel,1160000,gercek,scrape_edilmis
1322130189,sahibinden.com,2012,Fiat,Punto,195000,Benzin,Otomatik,630000,gercek,scrape_edilmis
1322127472,sahibinden.com,2012,Hyundai,Accent Era,930000,Benzin,Manuel,375000,gercek,scrape_edilmis
1322120519,sahibinden.com,2016,Audi,A6,213000,Dizel,Otomatik,2700000,gercek,scrape_edilmis
1322118710,sahibinden.com,2006,Volkswagen,Passat,206000,Benzin,Otomatik,750000,gercek,scrape_edilmis
1322118300,sahibinden.com,2016,Mercedes-Benz,E Serisi,207000,Benzin,Otomatik,2740000,gercek,scrape_edilmis
1322118114,sahibinden.com,2019,Fiat,Egea,119700,Dizel,Otomatik,930000,gercek,scrape_edilmis
1313582343,sahibinden.com,2024,Renault,Megane,21000,Benzin,Otomatik,1670000,gercek,scrape_edilmis
1300224846,sahibinden.com,1994,Renault,R 9,395000,Benzin,Manuel,195000,gercek,scrape_edilmis
1322114480,sahibinden.com,2016,Skoda,Octavia,117500,Dizel,Otomatik,1620000,gercek,scrape_edilmis
1322112430,sahibinden.com,2017,BMW,3 Serisi,116000,Benzin,Otomatik,1885000,gercek,scrape_edilmis
1322108190,sahibinden.com,2017,BMW,5 Serisi,160000,Benzin,Otomatik,2550000,gercek,scrape_edilmis
1322107614,sahibinden.com,2010,Peugeot,308,165800,Dizel,Otomatik,670000,gercek,scrape_edilmis
1316573812,sahibinden.com,2017,Peugeot,301,180000,Dizel,Manuel,694500,gercek,scrape_edilmis
1322100226,sahibinden.com,2012,Ford,Fiesta,253000,Dizel,Manuel,468000,gercek,scrape_edilmis
1321861754,sahibinden.com,2012,Renault,Fluence,205000,Benzin,Otomatik,499000,gercek,scrape_edilmis
1322104910,sahibinden.com,2022,Volkswagen,Passat,223000,Benzin,Otomatik,2150000,gercek,scrape_edilmis
1322101628,sahibinden.com,2022,Renault,Clio,48000,Benzin,Otomatik,1189000,gercek,scrape_edilmis
1322092137,sahibinden.com,2020,Volkswagen,Passat,183000,Benzin,Otomatik,1900000,gercek,scrape_edilmis
1298756548,sahibinden.com,2006,Fiat,Stilo,323000,Benzin,Manuel,279000,gercek,scrape_edilmis
1322096978,sahibinden.com,2016,Volkswagen,Passat,153000,Dizel,Otomatik,1489000,gercek,scrape_edilmis
1316214179,sahibinden.com,2014,Audi,A4,70000,Dizel,Otomatik,1865000,gercek,scrape_edilmis
1321400976,sahibinden.com,2012,Audi,A4,264000,Dizel,Otomatik,1595000,gercek,scrape_edilmis
1322086885,sahibinden.com,2015,Opel,Corsa,173700,Benzin,Otomatik,619900,gercek,scrape_edilmis
1322089095,sahibinden.com,2016,Opel,Astra,213500,Dizel,Otomatik,865000,gercek,scrape_edilmis
1322077933,sahibinden.com,2019,Volkswagen,Golf,94325,Benzin,Manuel,1185500,gercek,scrape_edilmis
1322088240,sahibinden.com,2016,Seat,Leon,130000,Dizel,Otomatik,1380000,gercek,scrape_edilmis
1316792332,sahibinden.com,2007,Mercedes-Benz,S Serisi,240000,Benzin,Otomatik,1750000,gercek,scrape_edilmis
1322083279,sahibinden.com,2016,Toyota,Auris,160000,Benzin,Manuel,848750,gercek,scrape_edilmis
1322079907,sahibinden.com,2017,Honda,Civic,113000,Benzin,Otomatik,1610000,gercek,scrape_edilmis
1321783736,sahibinden.com,2011,Renault,Latitude,275000,Dizel,Manuel,690000,gercek,scrape_edilmis
1322075999,sahibinden.com,2000,BMW,5 Serisi,338500,Benzin,Otomatik,560000,gercek,scrape_edilmis
1322074112,sahibinden.com,2012,Volkswagen,VW CC 1.4 TSI,276000,Benzin,Otomatik,875000,gercek,scrape_edilmis
1314461058,sahibinden.com,1995,Fiat,Tempra,309500,Benzin,Manuel,175000,gercek,scrape_edilmis
1322072932,sahibinden.com,2014,BMW,3 Serisi,163000,Benzin,Otomatik,1660000,gercek,scrape_edilmis
1322057365,sahibinden.com,2014,Volkswagen,Golf,68256,Benzin,Manuel,1125000,gercek,scrape_edilmis
1302475374,sahibinden.com,2022,BMW,5 Serisi,45000,Benzin,Otomatik,4195900,gercek,scrape_edilmis
1316017053,sahibinden.com,2015,Mercedes-Benz,B Serisi,140000,Benzin,Otomatik,1500000,gercek,scrape_edilmis
1320385457,sahibinden.com,2020,Seat,Leon,83000,Benzin,Otomatik,1725000,gercek,scrape_edilmis
1321873099,sahibinden.com,2025,Tesla,Model Y,42100,Elektrik,Otomatik,2770000,gercek,scrape_edilmis
